S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,159,747,"12,923","51,521"
1,Arabaka,12,46,656,"2,899"
2,BAPALAMENDI-L,8,40,899,"3,811"
3,Bastingia,6,31,390,"1,870"
4,Beheragaon,9,31,692,"2,747"
5,Brahmanpad,12,100,"2,036","7,808"
6,Chahali,25,96,"1,016","4,006"
7,Chakapada,9,60,"1,100","4,364"
8,Kakharujhola,14,81,848,"3,341"
9,Kusumendi,19,71,"1,714","6,830"
10,L.bapalmendi,8,41,750,"2,919"
11,Pasara,11,56,"1,117","4,510"
12,SHANKARAKHOLE,26,94,"1,705","6,416"
,Total,159,747,"12,923","51,521"
