S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,240,228,746,"18,650","79,063"
1,Badabanga,15,15,35,957,"3,708"
2,Bamunigam,2,2,3,24,113
3,Bhramarbadi,12,12,31,839,"3,949"
4,Budaguda,8,7,24,528,"2,433"
5,Danekbadi,5,5,23,623,"2,563"
6,Daringbadi,6,6,37,"1,021","4,581"
7,Dasingbadi,13,13,38,860,"4,122"
8,Gadapur,3,3,17,474,"2,131"
9,Greenbadi,9,9,28,"1,129","4,084"
10,Gumikia,18,15,36,850,"3,867"
11,Hatimunda,7,6,46,855,"3,992"
12,Jhinjiriguda,6,6,44,641,"2,171"
13,Katingia,17,17,33,819,"3,632"
14,Kirikuti,5,5,22,582,"2,480"
15,Kumbharigan,13,12,22,572,"1,122"
16,Partamaha,20,19,45,"1,128","4,538"
17,Pliheri,6,6,17,626,"2,563"
18,Saramuli,9,9,23,597,"2,883"
19,Siangabali,13,11,42,837,"3,861"
20,Simanbadi,6,6,24,827,"3,779"
21,Sirkabarga,7,7,18,508,"2,539"
22,Sonepur,6,5,30,651,"2,113"
23,Sreniketa,11,11,38,871,"3,763"
24,Tajungia,6,6,26,895,"3,645"
25,Tilori,17,15,44,936,"4,431"
,Total,240,228,746,"18,650","79,063"
