S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,179,670,"14,025","58,113"
1,Adimaha,20,41,662,"2,791"
2,Balligeda,4,39,538,"2,265"
3,Bandaguda,10,36,806,"3,736"
4,Chanchedi,9,65,982,"3,999"
5,Gandhiringia,10,44,771,"3,161"
6,Gunjibadi,21,73,"1,293","4,837"
7,Jiridikia,12,28,570,"2,461"
8,Kanjamendi,5,61,"1,513","6,281"
9,Kudutuli,22,56,911,"4,099"
10,Letingia,8,20,479,"2,054"
11,Mahasingi,14,35,"1,533","6,215"
12,Sainpada,17,52,797,"3,376"
13,Sarangagada,12,73,"1,772","6,886"
14,Sirtiguda,15,47,"1,398","5,952"
,Total,179,670,"14,025","58,113"
