S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,60,57,177,"4,609","18,100"
1,Adasipada,3,3,11,360,"1,298"
2,Arapaju,7,7,22,782,"3,114"
3,Balaskumpa,5,5,13,464,"1,623"
4,Bilabadi,5,4,7,140,520
5,Dalapada,5,5,17,455,"1,856"
6,Dutimendi,5,5,22,505,"2,025"
7,Dutipada,3,3,8,220,763
8,Gudari,3,3,18,337,"1,494"
9,Khajuripada,7,5,12,315,"1,112"
10,Pirikudi,4,4,7,177,772
11,R.nuagaon,1,1,9,161,574
12,Sudreju,1,1,4,81,361
13,Sudrukumpa,8,8,23,501,"1,989"
14,Titrapanga,3,3,4,111,599
,Total,60,57,177,"4,609","18,100"
