S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,137,134,447,"8,769","43,005"
1,Dharakota,5,5,21,218,982
2,Durgapanga,16,13,42,599,"2,798"
3,Gugurumaha,13,13,29,886,"4,326"
4,Jubaguda,10,10,31,684,"3,381"
5,Judabali,10,10,30,600,"2,923"
6,Kotagarh,8,8,24,426,"2,137"
7,Madaguda,13,13,38,596,"2,858"
8,Marlanga,8,8,34,926,"4,501"
9,Ora,8,8,34,661,"3,402"
10,Pakari,3,3,20,608,"2,759"
11,Parigada,12,12,32,599,"3,041"
12,Ranipanga,6,6,23,366,"1,967"
13,Sartul,7,7,37,575,"2,904"
14,Srirampur,8,8,20,354,"1,774"
15,Subararnagiri,10,10,32,671,"3,252"
,Total,137,134,447,"8,769","43,005"
