S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,63,40,99,"1,604","7,014"
1,Bandhagada,2,2,4,38,178
2,Dimiriguda,3,1,4,12,92
3,Dindiragaon,2,1,6,114,453
4,Gocha Pada,4,2,8,135,585
5,Kasni Padar,3,1,3,184,701
6,Kela Pada,2,2,5,76,375
7,Koirimandu,2,2,4,25,123
8,Luisingi,4,1,1,8,27
9,Nua Padar,2,1,1,7,25
10,Pabingia,2,1,3,87,339
11,Paireju,4,1,1,20,85
12,Pakari,3,1,1,1,22
13,Panga Upper Sahi,6,6,12,171,801
14,Phiringia,2,1,3,120,479
15,Polabrudi,3,2,10,132,550
16,Ratanga,3,3,14,166,780
17,Sadingia,5,2,2,6,26
18,Salaguda,3,3,9,221,983
19,Samarbandha,7,6,6,26,130
20,Taladandikia,1,1,2,55,260
,Total,63,40,99,"1,604","7,014"
