S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,396,"1,197","19,875","90,340"
1,Balandapada,13,56,"1,011","4,082"
2,Bandhagada,16,39,941,"4,003"
3,Bhrungijodi,12,43,712,"3,344"
4,Dimiriguda,15,44,943,"5,408"
5,Dindiragaon,10,56,582,"2,415"
6,GOCHHAPADA,14,51,"1,179","5,074"
7,Jejes Panga,4,30,602,"2,770"
8,Kasni Padar,19,51,"1,093","5,119"
9,Kela Pada,12,61,"1,315","5,697"
10,Koirimandu,16,42,715,"3,020"
11,Krandiballi,12,50,403,"1,943"
12,Luisingi,27,53,725,"3,323"
13,NUAPADAR,12,48,"1,013","4,573"
14,Pabingia,25,87,"1,199","5,044"
15,Paireju,22,42,499,"2,389"
16,Pakari,16,34,282,"1,365"
17,Panga Upper Sahi,17,40,678,"3,059"
18,Phiringia,22,68,"1,626","7,001"
19,Polabrudi,19,57,825,"3,868"
20,Ratanga,18,61,820,"3,646"
21,Sadingia,18,55,704,"3,457"
22,Salaguda,15,42,701,"3,573"
23,Samarbandha,31,48,443,"2,247"
24,Taladandikia,11,39,864,"3,920"
,Total,396,"1,197","19,875","90,340"
