S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,95,95,469,"10,500","44,828"
1,Badabarba,4,4,9,112,498
2,Beredakia,2,2,13,555,"2,416"
3,Dadangia,5,5,37,958,"3,967"
4,Gumamaha,18,18,59,"1,381","5,817"
5,Indragada,6,6,17,231,"1,098"
6,Karada,6,6,27,394,"1,989"
7,Mandakia,9,9,66,"1,365","5,869"
8,Manikeswar,18,18,55,"1,189","4,577"
9,Petapanga,8,8,70,"1,117","4,559"
10,Raikia,2,2,56,"1,976","8,580"
11,Ranaba,3,3,11,244,"1,295"
12,Sugadabadi,14,14,49,978,"4,163"
,Total,95,95,469,"10,500","44,828"
