S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,38,38,199,"5,196","23,706"
1,ATAL,1,1,5,88,426
2,Badambila,2,2,4,67,323
3,BALAKATI,2,2,16,407,"1,894"
4,Batipada,1,1,1,15,70
5,CHANDIAGADI,1,1,1,8,40
6,Dasipur,1,1,10,450,"1,952"
7,Demal,3,3,37,727,"3,408"
8,Desahi,1,1,16,586,"2,172"
9,Dimiripal,1,1,2,66,359
10,EKMANIA,1,1,1,32,161
11,ERADANGA,3,3,16,352,"1,513"
12,GOVINDPUR,1,1,1,7,35
13,Kalaspur,1,1,10,210,"1,026"
14,Ketuapal,1,1,9,212,953
15,MANIKAPATNA,1,1,8,369,"2,026"
16,NARENDRAPUR,3,3,4,67,378
17,Nial,2,2,4,106,516
18,Nuapada,1,1,1,27,114
19,Padinipal,1,1,2,210,935
20,Palimi,3,3,20,571,"2,512"
21,PETAPADA,1,1,2,61,297
22,SANAMANGA,3,3,24,492,"2,254"
23,SANSIDHA,1,1,1,13,66
24,Singiri,2,2,4,53,276
,Total,38,38,199,"5,196","23,706"
