S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,249,"1,402","9,295","3,23,450","14,20,375"
1,Aali,34,125,"1,320","30,892","1,40,587"
2,Derabis,26,168,"1,252","39,037","1,63,234"
3,Garadpur,18,134,879,"27,005","1,16,346"
4,Kendrapada,27,135,913,"35,309","1,54,904"
5,Mahakalapada,31,190,"1,037","53,358","2,30,291"
6,Mashaghai,24,105,698,"31,471","1,32,122"
7,Pattamundai,31,142,"1,195","34,457","1,60,513"
8,Rajkanika,29,155,968,"32,738","1,46,615"
9,Rajnagar,29,248,"1,033","39,183","1,75,763"
,Total,249,"1,402","9,295","3,23,450","14,20,375"
