S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,61,59,210,"5,439","23,596"
1,Balia,2,2,8,160,685
2,Barimul,3,3,14,291,"1,370"
3,Baspur,4,4,13,153,808
4,Benipur,2,2,18,206,858
5,Chandol,2,2,6,145,651
6,Chatrachakoda,4,4,13,191,984
7,Chhoti,1,1,18,524,"2,062"
8,Ender,5,4,11,561,"2,362"
9,Golarhat,6,6,16,495,"2,110"
10,GUHALSINGH,1,1,1,89,471
11,Harianka,1,1,1,26,116
12,Indalo,1,1,4,191,845
13,Kaupada,4,4,23,597,"2,404"
14,KHAMOL,4,4,9,181,915
15,KURUJANGA,1,1,1,14,82
16,Kusiapal,1,1,1,66,314
17,Laxminarayanpur,2,2,3,104,471
18,Makundapaur,2,2,4,97,376
19,Mangalpur,2,2,23,781,"3,181"
20,Nahanga,3,3,6,161,801
21,NARASINGHPUR,1,1,2,124,478
22,Palei,2,2,3,37,180
23,Raghudeipur,1,1,3,68,279
24,RATADIAKHANDASAHI,6,5,9,177,793
,Total,61,59,210,"5,439","23,596"
