S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,297,"2,049","8,168","3,51,532","15,74,713"
1,Anandapur,18,121,377,"24,388","1,10,838"
2,Banspal,21,163,703,"25,500","1,19,456"
3,Champua,22,137,607,"22,882","94,915"
4,Ghasipura,25,161,499,"32,924","1,47,534"
5,Ghatagaon,27,142,909,"27,344","1,25,405"
6,Harichandanpur,25,204,560,"32,645","1,39,574"
7,Hatadihi,31,220,640,"33,780","1,44,808"
8,Jhumpura,22,146,557,"25,815","1,09,158"
9,Joda,19,113,582,"25,395","1,29,593"
10,Keonjhar,25,214,709,"36,428","1,63,325"
11,Patna,20,148,585,"23,685","1,00,670"
12,Saharapada,20,138,668,"18,728","89,246"
13,Telkoi,22,142,772,"22,018","1,00,191"
,Total,297,"2,049","8,168","3,51,532","15,74,713"
