S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,163,703,"25,500","1,19,456"
1,Banspal,5,33,"1,460","7,029"
2,Baragoda,10,32,"1,396","3,847"
3,Bayakumutia,7,26,684,"3,180"
4,Gonasika,8,27,851,"4,624"
5,Jatra,5,31,906,"4,535"
6,Kalanda(ka),8,36,904,"4,535"
7,Karangadihi,7,38,941,"4,872"
8,Kodipasa,8,25,754,"3,822"
9,Kuanra,7,38,"1,601","8,274"
10,Kumundi (ka),5,44,"1,742","9,067"
11,Nayakot,5,24,605,"2,931"
12,Phuljhar,7,36,"1,104","5,359"
13,Saharpur,7,37,"1,187","5,962"
14,Singpur(ka),10,39,"1,086","5,511"
15,Suakati,4,26,"2,002","8,334"
16,Talachampei,15,37,"1,262","5,336"
17,Talakadakala,9,33,"1,498","7,500"
18,Talakainsari,8,35,"1,335","6,489"
19,Tana,7,33,925,"4,005"
20,Taramakanta,9,33,"1,242","4,977"
21,Upper Raigoda,12,40,"2,015","9,267"
,Total,163,703,"25,500","1,19,456"
