S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,157,145,632,"21,623","1,06,234"
1,Banspal,5,5,29,905,"4,589"
2,Baragoda,10,9,30,734,"3,535"
3,Bayakumutia,6,6,25,667,"3,096"
4,Gonasika,8,7,23,722,"4,059"
5,Jatra,5,5,31,906,"4,535"
6,Kalanda(ka),7,7,24,771,"3,905"
7,Karangadihi,7,6,36,852,"4,665"
8,Kodipasa,8,8,25,754,"3,822"
9,Kuanra,7,7,37,"1,589","8,149"
10,Kumundi (ka),5,5,44,"1,742","9,067"
11,Nayakot,5,5,22,577,"2,797"
12,Phuljhar,7,7,36,"1,104","5,359"
13,Saharpur,7,7,35,"1,156","5,812"
14,Singpur(ka),9,8,32,901,"4,601"
15,Suakati,4,4,26,"2,002","8,334"
16,Talachampei,15,10,29,939,"4,340"
17,Talakadakala,9,9,33,"1,498","7,500"
18,Talakainsari,8,8,31,967,"4,659"
19,Tana,7,6,32,858,"4,005"
20,Taramakanta,8,8,20,741,"3,343"
21,Upper Raigoda,10,8,32,"1,238","6,062"
,Total,157,145,632,"21,623","1,06,234"
