S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,73,71,149,"7,194","30,808"
1,Aitipur,1,1,1,16,71
2,Akarua,5,5,14,957,"4,181"
3,Ambo,5,5,14,882,"3,641"
4,Anara,1,1,3,98,428
5,Badarampas,2,2,2,22,97
6,Balibarei,1,1,1,12,39
7,Bangore,1,1,5,108,256
8,Danar,1,1,1,94,389
9,Dhanurjaypur,1,1,2,89,276
10,Dhenka,1,1,2,61,294
11,GEDAMA,3,3,7,481,"2,219"
12,Habaleswar,1,1,1,4,14
13,Hatadihi,4,4,13,500,"2,199"
14,Inchola,2,2,2,44,184
15,Jambhira,1,1,2,42,198
16,K.balipal,6,5,5,99,505
17,Kaligaon,3,3,5,299,"1,342"
18,Mareigan,4,4,8,373,"1,632"
19,Orali,1,1,3,233,"1,079"
20,Padhiaripalli,1,1,2,182,543
21,Panchugochhia,6,5,9,349,"1,459"
22,Pandado,2,2,5,311,"1,251"
23,Sadanga,2,2,6,217,997
24,Sadha,3,3,5,71,349
25,Salinia,4,4,7,317,"1,474"
26,Samana,4,4,11,488,"2,195"
27,Sasanga,2,2,6,250,"1,054"
28,Soso,4,4,5,448,"1,857"
29,Sulana,1,1,2,147,585
,Total,73,71,149,"7,194","30,808"
