S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,99,97,350,"15,883","69,578"
1,Arsala,5,5,10,364,"2,116"
2,Asanpat,5,5,30,"1,558","6,576"
3,Badadumuria,4,4,18,727,"3,107"
4,Badaneuli,5,5,16,784,"3,618"
5,Balibandha,7,7,22,"1,440","6,414"
6,Baria,4,3,8,519,"2,209"
7,Basantapur,3,3,16,846,"4,248"
8,Chouthia,3,3,12,742,"3,166"
9,Gumura,7,7,21,997,"4,367"
10,Gundunia,2,2,3,57,243
11,Jhumpura,3,3,10,257,"1,225"
12,Khendra,2,2,8,392,"1,656"
13,Khuntapada,3,3,14,682,"2,980"
14,Kutugaon,4,3,14,412,"2,036"
15,Malda,11,11,40,"1,656","6,993"
16,Nahabeda,7,7,13,525,"2,445"
17,Naradpur,3,3,15,762,"2,928"
18,Nayadhanurjayapur,3,3,18,796,"2,786"
19,Nayagarh,4,4,13,591,"2,487"
20,Nischintapur,9,9,32,959,"4,536"
21,Tukudiha,3,3,10,407,"1,837"
22,Ukhunda,2,2,7,410,"1,605"
,Total,99,97,350,"15,883","69,578"
