S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,146,557,"25,815","1,09,158"
1,Arsala,6,23,"1,305","6,122"
2,Asanpat,5,31,"1,583","6,660"
3,Badadumuria,7,28,"1,109","4,678"
4,Badaneuli,9,23,"1,080","4,957"
5,Balibandha,9,28,"1,808","7,893"
6,Baria,7,21,"1,102","4,392"
7,Basantapur,3,16,846,"4,248"
8,Chouthia,7,26,"1,335","5,548"
9,Gumura,7,21,997,"4,367"
10,Gundunia,4,16,655,"2,693"
11,Jhumpura,4,23,711,"3,327"
12,Khendra,3,16,849,"3,629"
13,Khuntapada,7,36,"1,613","7,023"
14,Kutugaon,8,27,"1,157","3,963"
15,Malda,11,44,"1,737","7,322"
16,Nahabeda,9,22,"1,115","4,700"
17,Naradpur,4,20,893,"3,429"
18,Nayadhanurjayapur,4,22,954,"3,465"
19,Nayagarh,6,18,775,"3,386"
20,Nischintapur,10,45,"1,325","5,903"
21,Tukudiha,10,31,"1,628","6,809"
22,Ukhunda,6,20,"1,238","4,644"
,Total,146,557,"25,815","1,09,158"
