S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,111,100,524,"21,397","1,04,996"
1,Anseikala,8,7,51,"1,510","8,397"
2,Badakalimati,7,7,31,882,"4,094"
3,Balada,4,4,18,"1,130","5,972"
4,Balagoda,2,2,16,316,"1,610"
5,Bhadra Sahi,6,6,30,"1,163","5,314"
6,Bhuiamroida,3,3,24,"1,384","9,623"
7,Birikala,8,6,28,"1,098","4,322"
8,Bolani,13,11,50,"2,393","9,400"
9,Chamakpur,8,2,15,377,"1,795"
10,Deojhar,7,7,38,"1,360","6,826"
11,Guali,6,6,22,898,"4,228"
12,Jajanga,6,6,44,"1,441","6,493"
13,Jalahari,2,2,15,"1,099","5,841"
14,Jurudi,2,2,11,375,"2,005"
15,Kandara,6,6,44,"1,297","6,788"
16,Karakhendara,4,4,24,"1,102","5,484"
17,Laidapada,7,7,23,"1,026","4,745"
18,Palasa,8,8,23,"1,451","6,248"
19,Serenda,4,4,17,"1,095","5,811"
,Total,111,100,524,"21,397","1,04,996"
