S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,138,134,414,"21,294","95,972"
1,Baradapal,4,4,15,758,"4,007"
2,Bauripada,5,5,26,822,"3,383"
3,Bodapalas,3,2,9,619,"2,349"
4,Dimbo,6,5,17,948,"4,170"
5,Gobardhan,5,5,20,873,"3,917"
6,Gopinathpur,7,7,14,"1,400","6,574"
7,Handibhanga,10,10,40,"1,937","7,276"
8,Janardanpur,3,3,6,432,"2,011"
9,Kandraposi,7,7,35,"1,449","6,900"
10,Kathabari,5,5,18,769,"3,551"
11,Kaunrikala,6,5,8,236,"1,147"
12,Mahadeijoda,4,4,23,"1,222","5,498"
13,Maidankel,5,5,17,620,"2,881"
14,Mandua,2,2,6,256,"1,131"
15,Naranpur,7,7,19,"1,071","4,970"
16,Nelung,4,4,14,"1,146","5,158"
17,Nuagaon,10,10,25,"1,337","6,156"
18,Padmapur,5,5,13,769,"3,340"
19,Palaspanga,7,7,13,942,"4,084"
20,Parjanpur,9,8,13,594,"2,974"
21,Raghunathpur,7,7,21,836,"3,810"
22,Raikala,5,5,21,"1,135","5,514"
23,Raisuan,2,2,2,10,55
24,Sankiri,5,5,12,675,"3,205"
25,Sirispal,5,5,7,438,"1,911"
,Total,138,134,414,"21,294","95,972"
