S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,121,120,495,"13,845","64,746"
1,Akul,6,6,28,835,"3,890"
2,Balabhadrapur,7,7,26,690,"2,984"
3,Bhimkand,5,5,12,493,"2,198"
4,Bimala,6,6,37,912,"4,280"
5,Binjabahal,1,1,1,25,125
6,Chhamunda,3,3,33,"1,037","5,096"
7,Deuladiha,6,6,19,625,"2,677"
8,Dubulapal,3,3,6,148,762
9,Jagamohanpur,5,5,26,718,"3,316"
10,Kaliahata,13,13,42,886,"4,192"
11,Karadangi,4,4,5,93,379
12,Karamangi,8,7,32,803,"4,027"
13,Khuntapada,3,3,20,500,"2,471"
14,Oriya Birida,6,6,21,635,"2,467"
15,Padanga,9,9,35,869,"3,971"
16,Purujoda,6,6,36,"1,032","4,614"
17,Raisuan,6,6,24,812,"4,147"
18,S.n.purgoda,6,6,29,817,"3,851"
19,Saleikena,6,6,36,"1,211","5,746"
20,Sirigida,3,3,6,102,586
21,Talapada,5,5,13,440,"2,169"
22,Telkoi,4,4,8,162,798
,Total,121,120,495,"13,845","64,746"
