S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,240,"1,890","4,662","3,25,064","13,08,828"
1,Bandhugaon,13,147,169,"17,313","71,600"
2,Boipariguda,20,250,632,"32,263","1,20,503"
3,Borigumma,31,144,408,"41,227","1,69,482"
4,Dasamantapur,16,159,381,"22,782","87,818"
5,Jeypore,22,115,372,"30,996","1,31,951"
6,Koraput,14,96,226,"19,670","70,362"
7,Kotpad,17,95,239,"26,397","1,07,276"
8,Kundra,16,83,264,"19,052","75,536"
9,Lamtaput,15,168,281,"17,359","63,484"
10,Laxmipur,13,99,190,"17,661","70,431"
11,Nandapur,23,216,522,"26,863","1,06,869"
12,Narayanpatna,9,125,215,"10,111","48,364"
13,Pottangi,14,99,485,"20,305","90,969"
14,Semiliguda,17,94,278,"23,065","94,183"
,Total,240,"1,890","4,662","3,25,064","13,08,828"
