S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,224,218,531,"24,636","91,960"
1,Baligam,2,2,39,"1,620","6,420"
2,Bodaput,7,7,19,704,"2,575"
3,Boipariguda,2,2,11,442,"1,853"
4,Chandrapada,3,3,11,787,"2,821"
5,Cherka,4,4,35,"1,097","4,069"
6,Chipakur,29,29,31,"1,615","6,151"
7,Dandabadi,25,25,42,"3,012","11,860"
8,Dasamantapur,9,9,21,"1,012","3,514"
9,Doraguda,5,5,26,842,"3,138"
10,Haladikunda,20,17,38,"1,875","7,202"
11,Kathapada,18,17,31,"1,378","5,073"
12,Kenduguda,24,24,44,"1,579","5,497"
13,Kollar,12,11,33,"1,709","6,591"
14,Mahuli,7,7,19,"1,205","4,109"
15,Majhiguda,17,16,33,"1,399","4,684"
16,Mathapoda,9,9,33,"1,610","5,745"
17,Pendapoda,3,3,10,664,"2,324"
18,Pujariguda,14,14,23,"1,080","4,256"
19,Ramagiri,13,13,26,671,"2,583"
20,Tentulligumma,1,1,6,335,"1,495"
,Total,224,218,531,"24,636","91,960"
