S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,144,408,"41,227","1,69,482"
1,Anchala,5,13,"1,097","4,759"
2,Aunl,5,20,"1,782","8,095"
3,B.singpur,3,7,"1,292","4,696"
4,Bandiguda,3,21,"1,187","5,244"
5,Benagam,4,9,822,"3,233"
6,Benasur,3,11,908,"3,595"
7,Bijapur,5,7,"1,127","4,440"
8,Bodigam,6,15,"1,365","5,532"
9,Borigumma,4,19,"3,633","15,348"
10,Champapadar,4,8,506,"1,968"
11,Dengapadar,6,12,"2,048","9,018"
12,Gujuniguda,3,15,"1,151","4,496"
13,Gumuda,2,11,981,"4,047"
14,Haridaguda,8,14,723,"2,910"
15,Hordolei,2,16,"1,453","6,025"
16,Jujhari,7,18,"1,241","5,060"
17,Kamara,7,17,"1,187","6,055"
18,Kamata,2,7,"1,034","4,011"
19,Kanagam,2,16,"1,366","6,257"
20,Kathargada,8,12,"1,347","5,128"
21,Kumuli,4,9,"1,506","5,424"
22,Malada,6,21,"1,580","6,737"
23,Munja,5,5,"1,009","3,743"
24,Nairagam,4,5,888,"3,533"
25,Nuagam,2,5,898,"4,743"
26,Pondosguda,6,16,"1,011","3,828"
27,Ranaspur,6,20,"1,346","3,580"
28,Sanparia,6,13,"1,734","7,673"
29,Sargiguda,6,12,"1,418","5,685"
30,Sasahandi,8,28,"2,431","10,028"
31,Semlaguda,2,6,"1,156","4,591"
,Total,144,408,"41,227","1,69,482"
