S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,165,387,"23,263","89,296"
1,A.malkangiri,5,30,"1,456","5,570"
2,Chanabeda,8,20,971,"3,999"
3,Chikamba,9,18,"1,216","4,967"
4,Dasmantpur,13,30,"2,533","9,465"
5,Duarsuni,20,41,"2,295","9,165"
6,Dumbaguda,7,15,950,"4,025"
7,Giriliguma,17,33,"2,013","7,616"
8,GODIAGUDA,14,27,"1,921","7,276"
9,Lulla,9,24,"1,472","5,804"
10,Mujanga,13,29,"1,937","6,232"
11,Murkar,11,24,"1,534","6,266"
12,Nandigam,8,17,956,"3,618"
13,P.bedapadar,1,8,261,"1,001"
14,P.phulbeda,10,24,"1,391","5,306"
15,Pindapadar,11,28,"1,386","5,353"
16,Podagada,9,19,971,"3,633"
,Total,165,387,"23,263","89,296"
