S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,97,96,226,"19,670","70,362"
1,Bada Suku,10,10,18,"1,438","4,306"
2,Deoghat,4,4,11,998,"3,325"
3,Dumuripadar,9,9,15,"1,292","4,597"
4,Kendar,5,5,19,"1,208","4,536"
5,Kerenga,3,3,20,"1,678","6,587"
6,Lankaput,9,9,19,998,"2,772"
7,Litiguda,7,7,10,"1,824","6,205"
8,Mahadeiput,16,16,21,"1,218","4,739"
9,Manbar,5,5,15,"1,549","5,458"
10,Marichamal,2,1,4,403,"1,531"
11,Masttiput,9,9,25,"1,894","7,606"
12,Mathalput,1,1,6,"1,592","7,141"
13,Padmapur,11,11,32,"2,458","8,222"
14,Umuri,6,6,11,"1,120","3,337"
,Total,97,96,226,"19,670","70,362"
