S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,59,58,201,"13,410","52,403"
1,Asana,3,3,22,"1,077","4,537"
2,Bagderi,5,5,11,965,"3,623"
3,Banuaguda,3,3,12,589,"2,395"
4,Bhusangaguda,3,3,3,630,"2,541"
5,Dangarpounsi,3,3,9,892,"3,583"
6,Digapur,1,1,2,69,261
7,Ghumar,4,3,10,"1,073","4,154"
8,Gundala,1,1,21,874,"3,396"
9,Kermiti,11,11,21,"1,376","5,341"
10,Kundra,4,4,27,"1,937","7,445"
11,Lima,2,2,16,"1,081","4,284"
12,Masigam,6,6,16,"1,136","4,340"
13,Pakhanaguda,2,2,3,234,802
14,Phulabhata,7,7,7,417,"1,555"
15,Phupugam,2,2,14,621,"2,369"
16,Raniguda,2,2,7,439,"1,777"
,Total,59,58,201,"13,410","52,403"
