S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,114,113,191,"10,870","39,087"
1,Badigada,3,3,11,268,"1,062"
2,Ballel,5,5,18,711,"2,450"
3,Banamaliput,4,4,5,229,736
4,Chikenput,7,7,9,627,"2,443"
5,Dabuguda,12,12,16,767,"2,902"
6,Godihanjar,5,5,12,654,"2,096"
7,Guneipoda,7,7,23,"1,099","4,049"
8,Jalahanjar,14,14,18,769,"2,724"
9,Kumargandhan,9,9,10,855,"2,854"
10,Lamtaput,9,9,14,709,"2,640"
11,Onkadeli,3,3,4,269,928
12,Petta,8,8,10,614,"2,199"
13,Tikarpada,9,9,14,973,"3,321"
14,Tusuba,15,14,21,"1,478","5,631"
15,Umbel,4,4,6,848,"3,052"
,Total,114,113,191,"10,870","39,087"
