S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,94,92,177,"15,572","61,581"
1,Bhitarguda,9,9,21,"1,423","5,135"
2,Burja,7,7,11,"1,083","4,937"
3,Champi,5,5,9,"1,222","4,847"
4,Goudaguda,8,6,16,"1,396","5,404"
5,Kakirigumma,2,2,3,346,973
6,Kusumguda,7,7,14,599,"2,397"
7,Kuttinga,5,5,9,"1,261","5,126"
8,Laxmipur,10,10,16,"1,239","4,858"
9,Odiapentha,12,12,18,"1,582","6,058"
10,Panchada,4,4,18,"1,411","6,024"
11,Pipalpadar,11,11,18,"1,702","6,628"
12,Toyaput,10,10,13,"1,438","5,960"
13,Tunpar,4,4,11,870,"3,234"
,Total,94,92,177,"15,572","61,581"
