S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,93,90,389,"15,629","69,600"
1,Ampavalli,3,3,39,"1,313","4,769"
2,Chandaka,4,4,20,885,"4,079"
3,DEOPOTTANGI,3,3,16,818,"3,956"
4,Gangarajpur,6,6,18,823,"3,995"
5,Kotiya,25,22,34,"1,969","8,846"
6,Maliput,7,7,15,"1,100","4,971"
7,NUAGAON,3,3,9,713,"2,979"
8,PETURU,5,5,49,"1,652","6,618"
9,Pottangi,7,7,16,935,"4,434"
10,Pukali,4,4,25,"1,151","5,350"
11,Rallegada,5,5,33,992,"4,818"
12,SAMBAI,4,4,27,"1,082","4,931"
13,Sunki,8,8,43,801,"3,473"
14,TALAGOLURU,9,9,45,"1,395","6,381"
,Total,93,90,389,"15,629","69,600"
