S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,85,83,206,"15,894","64,961"
1,Charangul,2,2,6,735,"2,664"
2,Daleiguda,4,4,15,"1,401","5,518"
3,Dudhary,3,3,6,438,"1,739"
4,Gunthaput,11,10,13,802,"3,019"
5,Hataguda,5,5,11,"1,208","4,933"
6,Khudi,3,3,14,"1,214","4,831"
7,Kunduli,3,3,8,858,"4,351"
8,Pakjhola,3,3,10,"1,086","4,199"
9,Parajamuthai,8,8,11,553,"2,563"
10,Pitaguda,5,4,9,"1,000","4,444"
11,Rajpalma,4,4,8,561,"2,172"
12,Rajput,8,8,16,"1,534","6,092"
13,Renga,3,3,11,519,"2,215"
14,Sadam,4,4,25,"1,064","4,964"
15,Sorisapadar,3,3,11,640,"2,354"
16,Subai,9,9,17,"1,169","4,266"
17,Upparkanti,7,7,15,"1,112","4,637"
,Total,85,83,206,"15,894","64,961"
