S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,78,76,185,"14,183","58,150"
1,Charangul,2,2,6,735,"2,664"
2,Daleiguda,4,4,15,"1,401","5,518"
3,Dudhary,3,3,6,438,"1,739"
4,Gunthaput,9,8,11,640,"2,466"
5,Hataguda,5,5,11,"1,208","4,933"
6,Khudi,3,3,14,"1,214","4,831"
7,Kunduli,3,3,8,858,"4,351"
8,Pakjhola,3,3,7,601,"2,347"
9,Parajamuthai,6,6,9,366,"1,868"
10,Pitaguda,5,4,7,867,"3,814"
11,Rajpalma,3,3,4,400,"1,484"
12,Rajput,8,8,15,"1,517","6,021"
13,Renga,3,3,11,519,"2,215"
14,Sadam,4,4,23,"1,007","4,671"
15,Sorisapadar,3,3,9,519,"1,974"
16,Subai,7,7,15,959,"3,401"
17,Upparkanti,7,7,14,934,"3,853"
,Total,78,76,185,"14,183","58,150"
