S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,116,113,304,"10,399","44,396"
1,Andrahal,9,9,18,978,"3,273"
2,Badadural,12,12,21,618,"2,531"
3,Govindapali,18,17,43,834,"3,798"
4,Kadamguda,7,7,18,664,"2,646"
5,Khairaput,9,9,17,790,"3,585"
6,Kudumuluguma,18,18,39,"1,247","5,602"
7,Madakapdar,6,5,18,372,"1,539"
8,Mudulipada,16,16,27,"1,079","4,384"
9,Parkanamala,8,8,39,"1,081","5,188"
10,Podaghat,5,5,27,"1,447","6,041"
11,Rasabeda,8,7,37,"1,289","5,809"
,Total,116,113,304,"10,399","44,396"
