S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,114,106,291,"13,649","64,716"
1,CHITAPARI III,11,11,18,"1,028","5,464"
2,Dudameta,6,6,17,974,"4,382"
3,Kambeda,4,4,14,"1,428","7,180"
4,Korukonda,7,5,20,577,"2,583"
5,Mariwada,2,1,12,667,"4,098"
6,Nakamamidi,32,31,63,"1,634","7,521"
7,NILAKHAMBUR,3,3,11,958,"4,059"
8,OLD CHIMATAPALLI,6,5,25,"1,161","5,694"
9,Potrel,6,6,24,"1,512","6,088"
10,Somnathpur,18,17,33,986,"4,491"
11,Tarlakota,16,14,37,"1,074","5,728"
12,Tumusapali,3,3,17,"1,650","7,428"
,Total,114,106,291,"13,649","64,716"
