S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,404,"3,707","10,747","5,61,579","24,04,082"
1,Badsahi,30,209,689,"35,994","1,51,211"
2,BAHALDA,12,100,282,"21,826","89,111"
3,Bangriposi,19,209,662,"25,600","1,05,411"
4,Baripada,11,102,302,"16,078","69,522"
5,Betnoti,24,221,492,"36,554","1,61,866"
6,BIJATALA,12,129,368,"15,078","66,129"
7,Bisoi,13,146,284,"18,387","78,887"
8,Gopabandhunagar,13,126,380,"22,677","76,386"
9,Jamda,10,76,174,"12,552","55,534"
10,JOSHIPUR,20,207,344,"24,148","1,05,255"
11,Kaptipada,26,141,530,"33,908","1,52,334"
12,Karanjia,15,154,533,"22,100","98,050"
13,Khunta,14,127,644,"17,859","75,922"
14,Kuliana,17,203,493,"23,573","1,01,147"
15,Kusumi,14,112,270,"21,568","96,035"
16,Morada,20,164,313,"25,695","1,03,665"
17,Rairangpur,9,112,371,"13,834","60,997"
18,Raruan,12,102,220,"15,811","66,912"
19,RASGOVINDPUR,16,165,569,"21,474","96,724"
20,Samakhunta,14,120,425,"19,156","80,384"
21,Saraskana,17,181,555,"25,426","1,06,815"
22,Sukruli,10,87,249,"13,594","60,575"
23,Suliapada,16,185,522,"25,174","1,03,230"
24,Thakurmunda,18,164,542,"22,644","1,04,767"
25,Tiring,10,78,155,"13,000","57,304"
26,Udala,12,87,379,"17,869","79,909"
,Total,404,"3,707","10,747","5,61,579","24,04,082"
