S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,112,111,257,"16,114","75,267"
1,Agiria,5,5,10,526,"2,302"
2,Ambogodia,2,2,14,747,"3,857"
3,Annla,3,3,8,479,"2,247"
4,Baisinga,5,5,8,712,"3,327"
5,Betnoti,3,3,6,643,"2,777"
6,Chanchhipada,3,3,10,673,"3,350"
7,Dahikuti,4,4,7,651,"2,576"
8,Gaddeulia,5,5,26,"1,349","6,479"
9,Hatijhuri,1,1,2,89,445
10,Jugal,3,3,6,219,"1,042"
11,Kalama,6,6,25,"1,088","5,107"
12,Kendua,8,8,13,738,"3,664"
13,Merda,11,10,22,"1,125","4,811"
14,Mohisasole,4,4,6,562,"2,364"
15,Muktapur,6,6,10,507,"2,269"
16,Nadpur,4,4,9,797,"4,698"
17,Patalipura,8,8,10,496,"2,274"
18,Purinda,2,2,2,238,"1,045"
19,Purunia,3,3,19,"1,168","5,192"
20,Raghupur,10,10,19,"1,361","6,715"
21,S.s. Nahandasole,3,3,3,288,"1,268"
22,Saitpur,3,3,3,104,519
23,Santra,6,6,12,692,"3,166"
24,Sathilo,4,4,7,862,"3,773"
,Total,112,111,257,"16,114","75,267"
