S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,129,368,"15,078","66,129"
1,Badjharan,10,41,"1,402","6,007"
2,Bankati,13,43,"2,074","8,830"
3,Bijatala,8,27,"1,177","5,374"
4,CHADHEIPAHADI,21,43,971,"4,320"
5,KHANTA,10,21,"1,729","7,895"
6,Luhasila,8,24,860,"3,770"
7,MADHEIKACHA,10,26,675,"3,000"
8,MANIKPUR,8,28,711,"2,922"
9,Mundathakura,6,27,"1,070","4,830"
10,NUSADIHI,6,20,865,"3,790"
11,RAIHARI,14,30,"1,842","8,128"
12,SARGODA,15,38,"1,702","7,263"
,Total,129,368,"15,078","66,129"
