S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,132,128,249,"15,337","66,721"
1,Asana,9,8,17,"1,386","5,640"
2,BADMANADA,12,12,20,"1,487","6,754"
3,Baneikala,6,6,13,727,"3,252"
4,Bautibeda,10,10,18,"1,245","5,391"
5,Bhhatchhatar,8,8,11,712,"3,091"
6,BISOI,7,7,17,"1,587","6,825"
7,JAGANATHPUR,11,11,15,797,"3,266"
8,Jodia,9,7,21,"1,048","4,489"
9,Khadambeda,14,14,29,"2,060","8,957"
10,Luhakani,15,14,27,"1,234","5,677"
11,Nangal Benta Pokharia,10,10,17,888,"3,988"
12,NUAGAON,11,11,26,"1,240","5,248"
13,SANPURUNA PANI,10,10,18,926,"4,143"
,Total,132,128,249,"15,337","66,721"
