S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,96,96,303,"16,930","58,407"
1,Arpata,7,7,21,"1,372","4,755"
2,Baradihi,6,6,23,"1,584","5,167"
3,Bhandgaon,6,6,20,644,"2,797"
4,Jaypur,11,11,30,"2,356","6,127"
5,Kuamara,6,6,24,"1,656","6,642"
6,Kushalda,12,12,37,"2,102","5,579"
7,P. Baripada,6,6,18,"1,368","4,237"
8,Pasuda,7,7,22,"1,202","4,696"
9,Ranibandha,12,12,40,"1,389","5,915"
10,Sainkula,3,3,7,697,"2,012"
11,Sankhunta,5,5,13,663,"2,685"
12,Silaghati,8,8,35,"1,250","5,361"
13,Titia,7,7,13,647,"2,434"
,Total,96,96,303,"16,930","58,407"
