S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,141,530,"33,908","1,52,334"
1,Badabisole,7,15,"1,334","4,753"
2,Badagudugudia,8,13,"1,052","4,721"
3,Badakhaladi,13,19,"1,772","7,325"
4,Chakradharpur,2,11,745,"3,521"
5,Devala,4,15,863,"4,206"
6,Dewanbahali,3,16,"1,170","5,813"
7,J.s.jamdiha,12,29,"2,358","10,125"
8,Jambani,5,14,"1,096","4,253"
9,Jhinkpada,6,10,"1,011","4,149"
10,Jodida,3,24,"1,287","5,660"
11,Kalamgadia,8,43,"1,532","8,468"
12,Kaptipada,6,20,"2,071","8,687"
13,Kolialam,4,8,"1,156","4,140"
14,Labanyadeipur,4,25,"1,483","7,482"
15,Majhigadia,2,16,"1,454","6,903"
16,Mankadapada,7,31,"1,754","7,474"
17,Nota,4,25,994,"4,940"
18,Nududiha,8,24,"1,445","6,331"
19,Padampokhari,2,25,"1,168","6,176"
20,Pedagadi,13,19,"1,844","7,321"
21,Pingu,4,12,950,"4,100"
22,Ram Chandra Pur,3,23,994,"4,831"
23,Ranipokhari,3,21,"1,056","5,673"
24,Salchua,4,22,"1,367","5,768"
25,Saradiha,3,20,827,"3,768"
26,Sarat,3,30,"1,125","5,746"
,Total,141,530,"33,908","1,52,334"
