S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,203,493,"23,573","1,01,147"
1,Baiganbadia,10,32,"1,131","4,309"
2,Bhagabanpur,5,20,879,"3,718"
3,Chandua,13,23,"1,669","7,242"
4,Dumurdiha,7,32,"1,747","7,376"
5,Gangraj,11,24,"1,238","5,283"
6,Gendapokhri,12,24,"1,061","4,306"
7,Goudruma,9,20,"1,300","5,088"
8,Keotunimari,18,35,"1,781","8,259"
9,Kuabuda,7,14,981,"4,762"
10,Kuchei,18,43,"1,627","7,453"
11,Kuliana,13,39,"1,559","6,319"
12,Marangtandi,8,27,"1,355","6,001"
13,Nodhana,17,44,"2,389","9,699"
14,Parulia,17,42,"1,131","4,546"
15,Patihinja,9,27,"1,059","5,078"
16,Purunapani,12,22,"1,393","6,025"
17,Saragchhida,17,25,"1,273","5,683"
,Total,203,493,"23,573","1,01,147"
