S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,73,72,161,"10,118","44,230"
1,Angarpada,4,4,8,310,"1,357"
2,Baidyanath,9,9,17,"1,132","4,984"
3,Bhanjakia,3,3,9,644,"2,435"
4,Budamara,3,3,6,359,"1,580"
5,Ghagarbeda,5,5,17,897,"4,070"
6,Godapalasa,10,9,17,"1,042","4,459"
7,Narasandha,6,6,15,"1,042","4,553"
8,Niunti,7,7,17,698,"3,436"
9,Nuagaon,6,6,12,775,"3,468"
10,Panpatria,8,8,18,"1,308","5,965"
11,Raruan,4,4,11,677,"2,701"
12,Tilokuti,8,8,14,"1,234","5,222"
,Total,73,72,161,"10,118","44,230"
