S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,120,120,425,"19,156","80,384"
1,Balidiha,8,8,35,"1,840","7,190"
2,Baunsabilla,2,2,21,"1,250","5,517"
3,Bhaluki,12,12,36,"1,121","5,004"
4,Gundihudi,5,5,22,882,"3,841"
5,Kalapathar,11,11,33,"1,193","5,324"
6,Kendua,10,10,43,"1,437","5,649"
7,Khandia,15,15,37,"1,563","6,730"
8,Kochilaghati,12,12,26,962,"4,129"
9,Mahulia,4,4,33,"1,091","4,843"
10,Paikabasa,12,12,28,"1,766","7,429"
11,Rangamatia,8,8,29,"1,810","7,449"
12,Samakhunta,6,6,31,"1,235","4,808"
13,Sindurgaura,11,11,31,"2,137","8,837"
14,Sirisbani,4,4,20,869,"3,634"
,Total,120,120,425,"19,156","80,384"
