S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,72,71,325,"15,557","69,420"
1,Badakhama,4,4,31,"1,521","7,027"
2,Badasingaria,5,5,22,"1,334","6,277"
3,Bahubandha,5,5,23,"1,332","6,002"
4,Bhimtali,4,4,5,249,"1,847"
5,Dugudha,5,5,27,939,"4,456"
6,Khaladi,13,13,43,"2,138","9,118"
7,Kochiladiha,11,11,45,"1,984","8,709"
8,Kundabai,4,4,18,"1,009","4,297"
9,Nuagan,3,3,22,894,"4,301"
10,Patasani Pur,7,7,51,"1,808","7,674"
11,Radho,6,5,18,"1,399","5,663"
12,S.ch.pur,5,5,20,950,"4,049"
,Total,72,71,325,"15,557","69,420"
