S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,189,859,"3,274","3,10,370","13,23,005"
1,Chandahandi,14,86,246,"18,664","73,993"
2,Dabugam,12,67,235,"17,560","77,369"
3,Jharigam,23,111,501,"37,463","1,63,015"
4,Kosagumuda,26,119,508,"46,220","1,91,785"
5,Nabarangpur,13,55,171,"23,436","1,00,726"
6,Nandahandi,11,47,134,"20,094","84,892"
7,Papadahandi,23,86,319,"37,262","1,54,647"
8,Raighar,26,117,573,"40,580","1,87,827"
9,Tentulikhunti,15,67,214,"25,811","1,04,782"
10,Umerkote,26,104,373,"43,280","1,83,969"
,Total,189,859,"3,274","3,10,370","13,23,005"
