S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,60,59,205,"15,110","67,677"
1,Anchala,5,5,20,700,"3,050"
2,Bada Olama,6,6,11,"1,278","5,846"
3,Borigam,7,7,28,"1,545","7,366"
4,Chacharaguda,8,8,24,"2,014","8,942"
5,Dabugam,3,3,15,"1,259","5,416"
6,Dangriguda,1,1,5,"1,105","5,371"
7,Gudakhunta,5,5,31,"1,389","6,236"
8,Jabaguda,6,6,13,"1,012","4,201"
9,Juna Pani,6,6,17,"1,273","5,898"
10,Koilari,5,4,17,"1,054","4,802"
11,Medena,5,5,15,"1,392","5,998"
12,Nandapura,3,3,9,"1,089","4,551"
,Total,60,59,205,"15,110","67,677"
