S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,111,111,501,"37,463","1,63,015"
1,Badatemera,6,6,16,"1,344","5,721"
2,Bakadabeda,4,4,21,"1,120","5,100"
3,Banuaguda,5,5,13,"1,884","8,364"
4,Belgam,6,6,30,"1,928","7,919"
5,Bhalukanadi,1,1,10,530,"2,219"
6,Bhikhya,4,4,9,"1,314","5,980"
7,Chacha,5,5,13,"1,432","5,568"
8,Chakalapadar,8,8,23,"1,597","6,529"
9,Chatiguda,5,5,16,"1,200","5,404"
10,Chitabeda,5,5,16,"1,948","7,335"
11,Dhamanaguda,10,10,27,"2,349","10,122"
12,Dhodra,8,8,16,"2,025","10,166"
13,Dongriguda,5,5,18,"1,898","8,291"
14,Ekamba B,3,3,13,"1,279","5,272"
15,Goursingha,4,4,28,"1,228","5,369"
16,Ichhapur,1,1,22,"1,289","5,684"
17,Jharigaon,7,7,36,"2,982","12,167"
18,Kanakote,4,4,27,"1,662","7,953"
19,Kutrichapar,3,3,32,"1,320","5,701"
20,Palia,6,6,26,"1,717","7,575"
21,Phupugam,4,4,22,"2,111","9,755"
22,Rathak Handiguda,4,4,26,"1,830","8,402"
23,Telanadigam,3,3,41,"1,476","6,419"
,Total,111,111,501,"37,463","1,63,015"
