S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,47,47,149,"19,550","83,961"
1,Agnipur,6,6,16,"1,913","8,406"
2,Badakumali,6,6,11,"1,346","6,183"
3,Bagasiuni,4,4,14,"1,182","5,275"
4,Basini,4,4,18,"2,247","9,448"
5,Bedamosigam,3,3,9,"1,895","7,805"
6,Bhatara Siuni,3,3,9,"1,155","5,375"
7,Bikrampur,3,3,6,919,"3,223"
8,Chatahandi,1,1,21,"2,375","10,245"
9,Mantriguda,4,4,11,"1,650","7,312"
10,Pujariguda,5,5,14,"1,461","6,063"
11,Sanamosigam,3,3,9,"1,018","4,048"
12,Sindhigam,2,2,6,"1,005","4,133"
13,Taragam,3,3,5,"1,384","6,445"
,Total,47,47,149,"19,550","83,961"
