S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,37,37,98,"12,656","54,384"
1,B. Maliguda,2,2,4,280,910
2,Dangarbheja,3,3,4,"1,330","4,989"
3,Dhandra,4,4,16,"2,373","10,482"
4,Dohana,6,6,20,"2,463","10,711"
5,Jagannathpur,4,4,13,986,"3,757"
6,Jhadabandhaguda,6,6,7,647,"2,796"
7,Mentry,1,1,2,252,937
8,Nandahandi,4,4,9,"1,678","7,576"
9,Nishnahandi,2,2,12,"1,284","6,589"
10,Podal Guda,2,2,4,423,"2,307"
11,Sindhiguda,3,3,7,940,"3,330"
,Total,37,37,98,"12,656","54,384"
