S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,78,78,262,"30,093","1,24,720"
1,Chandrapur,1,1,8,865,"3,329"
2,Chercheta,3,3,13,937,"2,948"
3,Dengaguda,5,5,14,"1,937","9,089"
4,Dongra,2,2,13,"1,206","4,963"
5,Gadabakatra,1,1,5,609,"2,592"
6,Ghataguda,2,2,4,335,"1,616"
7,Hatibeda,1,1,1,16,94
8,Jatabal,6,6,11,"2,193","10,108"
9,Kantamal,4,4,10,"1,276","5,366"
10,Khutubai,4,4,14,"1,025","4,060"
11,Maidalpur,5,5,21,"2,386","9,774"
12,Majhiguda,2,2,16,"1,434","4,998"
13,Manigam,4,4,10,"1,410","6,260"
14,Mokiya,4,4,14,"1,862","7,198"
15,Naktiguda,4,4,11,"1,187","4,705"
16,Pandikote,4,4,9,"1,754","7,914"
17,Papadahandi,4,4,16,"1,403","4,865"
18,Patri,6,6,20,"2,348","10,071"
19,Sanabarli,2,2,7,731,"2,545"
20,Semela,3,3,11,"1,401","5,986"
21,Sirsi,4,4,17,"1,738","7,837"
22,Tumberla,7,7,17,"2,040","8,402"
,Total,78,78,262,"30,093","1,24,720"
