S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,49,47,159,"14,760","62,096"
1,Anchalaguma,3,3,11,"2,027","8,157"
2,Digi,2,2,6,601,"1,925"
3,Gaura Deopali,1,1,8,352,"1,434"
4,Jhoriguma,1,1,11,"1,263","5,570"
5,Kamta,1,1,1,180,627
6,Kantagam,2,2,18,"2,163","9,129"
7,Kongra,4,4,7,"1,046","4,368"
8,Kukudabai,3,3,10,845,"3,749"
9,Lamtaguda,11,10,24,"1,621","6,458"
10,Manchagam,6,5,9,388,"1,558"
11,Patraput,5,5,16,"1,879","8,652"
12,Pujariguda,2,2,16,"1,606","7,376"
13,Tentulikhunti,8,8,22,789,"3,093"
,Total,49,47,159,"14,760","62,096"
