S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,67,214,"25,811","1,04,782"
1,Amalabhatta,3,6,"2,117","8,971"
2,Anchalaguma,4,18,"3,395","13,816"
3,Digi,3,7,826,"2,744"
4,Gaura Deopali,1,8,352,"1,434"
5,Jhoriguma,1,11,"1,263","5,570"
6,Kamta,2,5,781,"3,223"
7,Kantagam,2,18,"2,163","9,129"
8,Kongra,5,9,"1,942","8,414"
9,Kukudabai,3,10,845,"3,749"
10,Lamtaguda,15,37,"2,577","10,022"
11,Manchagam,9,20,"2,294","8,715"
12,PARAJABARANGPADAR,1,1,996,778
13,Patraput,5,16,"1,879","8,652"
14,Pujariguda,3,19,"2,227","10,282"
15,Tentulikhunti,10,29,"2,154","9,283"
,Total,67,214,"25,811","1,04,782"
