S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,23,23,46,"1,184","5,377"
1,Badapandusara,1,1,3,22,236
2,Balugaon,1,1,1,12,113
3,Bhatasahi,1,1,1,13,47
4,Chandibasta,2,2,4,186,670
5,Gadadharprasad,2,2,4,40,175
6,Ikiri,2,2,2,15,96
7,Itamati,1,1,7,93,455
8,Kalikaprasada,1,1,1,24,93
9,Khuntubandha,1,1,1,10,40
10,Kridaspur,2,2,2,102,527
11,Laxmiprasad,2,2,5,318,"1,371"
12,Lenkudipada,1,1,2,98,420
13,Muthagadia,2,2,3,40,204
14,Nabaghanapur,2,2,8,189,808
15,Nadiali,1,1,1,12,60
16,Saradhapur,1,1,1,10,62
,Total,23,23,46,"1,184","5,377"
