S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,43,43,75,"2,345","8,417"
1,Bahadajhola,3,3,6,112,428
2,Beruhanbari,3,3,8,85,408
3,Dhenkena,1,1,2,35,184
4,Durudura,3,3,3,102,412
5,GATERI,1,1,1,15,58
6,Gumi,3,3,5,60,360
7,Haripur,1,1,1,20,60
8,Jakeda,1,1,1,11,43
9,Kaptapalli,1,1,1,7,47
10,Khandugaon,1,1,1,10,52
11,Korada,4,4,6,259,765
12,Mahipur,3,3,6,737,"1,865"
13,Maichheli,1,1,5,88,357
14,Malisahi,1,1,1,10,48
15,Nuagaon,2,2,3,106,379
16,Paradhipi,3,3,6,102,453
17,Sikrida,1,1,2,20,109
18,Singarapalli,6,6,12,514,"2,171"
19,Sorada,1,1,1,10,48
20,Udayapur,3,3,4,42,170
,Total,43,43,75,"2,345","8,417"
