S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,48,48,70,"1,639","6,722"
1,Balabhadrapur,2,2,3,40,173
2,Bandhamunda,16,16,23,465,"1,896"
3,Brajarajpur,2,2,2,37,164
4,Champagarh,1,1,1,10,37
5,Champapedi,2,2,3,37,182
6,Damasahi,5,5,7,100,391
7,Darpanarayanpur,2,2,2,144,538
8,Gadabanikila(barangagadia),1,1,3,61,262
9,Kandapada,3,3,7,353,"1,499"
10,Kasanda,1,1,1,20,80
11,KERENDATANGI,1,1,1,11,47
12,Majhiakhanda,1,1,3,30,135
13,Narasinghpur,1,1,3,9,136
14,Patia,2,2,2,101,483
15,Raipada,3,3,3,77,340
16,Rajasunakhala,1,1,1,12,60
17,Rankadeuli,1,1,1,67,105
18,Surkabadi,3,3,4,65,194
,Total,48,48,70,"1,639","6,722"
