S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,56,55,295,"7,778","28,996"
1,BARGAON,1,1,3,127,412
2,CHATIAGUDA,1,1,5,459,"2,121"
3,GHANTIGUDA,1,1,1,64,336
4,GORLA,4,4,25,723,"2,647"
5,HATIBANDHA,2,1,12,326,"1,077"
6,JHARBANDH,2,2,8,158,536
7,KAINTPADAR,1,1,4,29,116
8,KANET GHATMAL,5,5,35,826,"2,897"
9,KARANBAHALI,5,5,13,203,779
10,KENDUMUNDA,3,3,9,443,"1,492"
11,KHAIRPADAR,4,4,15,329,"1,138"
12,KUSUMJORE,3,3,18,687,"2,200"
13,MAKHAPADAR,4,4,23,860,"3,454"
14,NANGALBOD,5,5,27,602,"2,446"
15,NUAMALPADA,4,4,24,523,"2,007"
16,NUAPADA,4,4,38,718,"2,865"
17,RANIMUNDA,3,3,22,404,"1,435"
18,SINGJHAR,2,2,5,134,557
19,TIMANPUR,2,2,8,163,481
,Total,56,55,295,"7,778","28,996"
