S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,268,"1,608","8,445","3,24,864","15,67,293"
1,Astarang,15,97,401,"22,793","1,01,292"
2,Bramhagiri,25,154,624,"28,842","1,42,468"
3,DELANGA,21,129,532,"26,531","1,26,562"
4,Gop,31,204,855,"39,136","1,83,658"
5,Kakatpur,16,106,716,"26,220","1,20,192"
6,Kanas,28,128,858,"31,326","1,54,807"
7,Krushnaprasad,21,118,514,"19,279","93,921"
8,Nimapara,32,236,857,"46,890","2,24,612"
9,Pipili,25,196,979,"28,886","1,46,682"
10,SADAR,30,145,"1,006","30,032","1,57,042"
11,Satyabadi,24,95,"1,103","24,929","1,16,057"
,Total,268,"1,608","8,445","3,24,864","15,67,293"
