S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,37,36,105,"4,245","20,199"
1,BADASIRBILA,1,1,2,63,291
2,Baharana,1,1,2,40,207
3,Balanga,1,1,1,38,186
4,Bhodar,4,3,5,129,665
5,Bhogasalada,4,4,15,478,"2,347"
6,Chanarpada,3,3,10,841,"4,093"
7,Chhanijanga,1,1,2,71,347
8,Dhalleswar,2,2,8,356,"1,706"
9,Gadapadanpur,2,2,6,289,"1,375"
10,Haripur,1,1,2,108,475
11,Kotakasanga,1,1,3,88,385
12,Miteipur,4,4,16,551,"2,642"
13,Nuasantha,1,1,5,295,"1,421"
14,Sagada,1,1,1,75,330
15,Sainsasasan,1,1,2,27,168
16,Salanga,1,1,2,101,471
17,Tampalo,2,2,5,190,913
18,Terundia,1,1,1,12,70
19,Tulasipur,4,4,15,484,"2,060"
20,Uchhupur,1,1,2,9,47
,Total,37,36,105,"4,245","20,199"
