S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,20,19,95,"2,008","9,966"
1,Balipada,2,2,9,183,874
2,Baliput,1,1,1,7,42
3,Bhailipur,1,1,3,88,447
4,Biraharekrushna Pur,1,1,14,451,"2,227"
5,Biranarsingh Pur,1,1,2,92,354
6,Birapratap Pur,3,2,9,108,513
7,Chalisibatia,2,2,15,266,"1,377"
8,Gadamurgasira,3,3,18,181,904
9,Jamarsuan,2,2,11,215,"1,073"
10,Kanheibidyadharapur,1,1,3,20,126
11,Pratapprusosttam Pur,1,1,3,111,632
12,Samanga,1,1,5,192,926
13,Sasanadamodar Pur,1,1,2,94,471
,Total,20,19,95,"2,008","9,966"
