S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,375,363,661,"30,590","1,23,232"
1,Adajore,21,21,40,"1,507","6,046"
2,Bankamba,12,12,17,"1,356","5,311"
3,Chandragiri,24,22,38,"1,564","6,072"
4,Dongasil,30,30,49,"2,180","8,673"
5,Dudukabahal,10,10,21,998,"4,380"
6,Godibali,35,34,48,"1,150","5,322"
7,Gorakhapur,13,13,33,"1,783","7,749"
8,Hadiguda,8,8,19,"1,000","3,803"
9,Kashipur,2,1,2,109,468
10,Khurigaon,8,8,18,990,"4,040"
11,Kodipari,25,25,39,"1,924","7,578"
12,Kucheipodar,7,7,25,"1,836","6,732"
13,MAIKANCH,11,11,27,"1,836","7,033"
14,Mandibisi,22,21,31,951,"3,808"
15,Manusgaon,16,15,28,"1,197","4,908"
16,Nakatiguda,7,7,13,"1,101","4,310"
17,Podapadi,8,8,20,"1,398","5,506"
18,Renga,9,8,22,944,"3,682"
19,Sankarada,28,27,40,"1,940","8,258"
20,Sinduraghati,7,7,18,832,"3,074"
21,Siripai,32,30,39,820,"3,621"
22,Sunger,14,14,28,663,"2,535"
23,Talajhiri,17,16,35,"1,589","6,302"
24,Tikiri,9,8,11,922,"4,021"
,Total,375,363,661,"30,590","1,23,232"
