S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,194,298,"21,445","92,841"
1,Badakhillapadar,11,18,"1,124","5,288"
2,Bhoimoda,12,20,829,"4,035"
3,BINKILI,13,21,"1,119","5,370"
4,Dumuriguda,6,10,761,"3,451"
5,Dunduli,15,23,"1,839","8,933"
6,GADISHESHAKHAL,17,28,"2,182","9,205"
7,Jharadi,8,13,753,"3,034"
8,Kailaspur,17,28,"1,431","6,750"
9,Karthikguda,4,5,424,"1,862"
10,Katikana,9,14,882,"3,625"
11,Keliguda,10,13,969,"3,568"
12,Khedapada,9,12,981,"4,289"
13,Kolnara,17,29,"2,523","9,971"
14,Mukundapur,13,16,"1,267","4,764"
15,Rekhapadar,14,18,"1,013","3,752"
16,Suri,13,20,"1,175","4,953"
17,Therubali,6,10,"2,173","9,991"
,Total,194,298,"21,445","92,841"
