S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,358,620,"28,425","1,19,281"
1,Agula,13,25,"1,136","5,034"
2,Amalabhatta,3,9,"1,707","7,700"
3,Ambadala,18,33,"1,628","6,593"
4,Bhairabagada,4,9,874,"2,883"
5,Dimiriguda,34,65,"2,790","12,717"
6,Ghamatguda,18,21,773,"2,999"
7,Ichhapur,39,64,"2,266","8,547"
8,Jagadalpur,25,48,"1,762","6,783"
9,KUMUDABALLI,19,34,"2,222","9,222"
10,MUNIGUDA,6,11,"3,116","13,096"
11,Munikhol,20,39,"1,497","8,245"
12,Paikranipinda,11,23,974,"4,493"
13,Patraguda,14,29,"1,300","5,035"
14,RAGHUBARI,30,36,993,"3,868"
15,SARDHAPUR,46,62,"1,523","5,838"
16,SISVAPADAR,39,71,"2,679","11,319"
17,Telengapadar,19,41,"1,185","4,909"
,Total,358,620,"28,425","1,19,281"
