S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,277,421,"32,792","1,38,797"
1,Bada Alubadi,8,13,914,"3,818"
2,Bada Erkubadi,14,16,724,"3,175"
3,Bairagi Halua,10,15,664,"2,737"
4,Baising,14,18,920,"3,536"
5,Chandili,1,5,"4,352","15,660"
6,Dangalodi,11,14,610,"3,015"
7,Durgapadu,5,8,765,"3,485"
8,Gajigam,6,11,831,"3,810"
9,Gumma,26,31,"1,256","5,478"
10,Halua,11,23,"1,297","6,878"
11,HATASESKHAL,8,14,949,"4,067"
12,Jemadeipentha,15,21,"1,190","5,537"
13,Kampamaligam,8,12,936,"4,068"
14,Karlakana,3,9,822,"3,632"
15,Karubai,5,8,445,"1,757"
16,Kereda,6,15,"1,081","4,081"
17,Kothapeta,8,8,"2,186","9,397"
18,Kuli,7,12,528,"2,227"
19,Kumbhikota,18,24,"1,391","6,908"
20,Kumtalpeta,2,7,"1,475","6,104"
21,Kutuli,6,13,847,"3,744"
22,MATIKONA,19,21,660,"2,897"
23,MIRABALLI,9,13,882,"3,198"
24,Nakiti,13,15,"1,000","3,765"
25,Penta,5,9,"2,002","8,008"
26,Pipiliguda,6,12,"1,012","4,319"
27,Pitamahal,18,26,"1,891","8,462"
28,Tadama,15,28,"1,162","5,034"
,Total,277,421,"32,792","1,38,797"
