S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,138,"1,182","4,995","1,64,872","6,81,983"
1,Bamara,17,136,713,"22,234","93,845"
2,Dhankauda,9,57,486,"13,472","56,749"
3,Jamankira,21,234,663,"24,449","98,113"
4,Jujumura,18,125,533,"21,644","89,729"
5,Kuchinda,17,131,611,"18,388","71,323"
6,Maneswar,12,77,295,"15,382","61,996"
7,Naktideul,14,170,570,"14,819","64,428"
8,Rairakhol,14,187,638,"13,025","56,328"
9,Rengali,16,65,486,"21,459","89,472"
,Total,138,"1,182","4,995","1,64,872","6,81,983"
