S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,50,47,94,"4,291","17,472"
1,Bisipada,5,5,9,466,"1,566"
2,Chadeipank,4,4,8,254,910
3,Jaloi,5,5,7,138,545
4,Jaunra Bhaunra,3,2,4,205,820
5,Kadodara,2,1,2,58,246
6,Kalapathar,4,3,3,316,"1,175"
7,Khema Loi,1,1,2,120,517
8,Kot Samalei,4,4,9,294,"1,458"
9,Lastala,1,1,5,352,"1,322"
10,Mahada,1,1,2,89,371
11,Mundo Ghat,6,6,14,796,"3,078"
12,Nimna,1,1,2,151,801
13,Pancha Mahal,3,3,5,335,"1,354"
14,Raxa,2,2,4,176,690
15,S Patrapali,4,4,7,215,"1,214"
16,Ullunda,4,4,11,326,"1,405"
,Total,50,47,94,"4,291","17,472"
